,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
366,paracuru,72,BR,1612048837,76,-3.41,-39.0306,82.0,18.01
367,lisala,100,CD,1612048837,64,2.15,21.5167,72.54,2.57
368,dali,0,CN,1612048837,80,25.7,100.1833,40.64,4.41
369,belyy yar,100,RU,1612048837,97,55.8402,32.9419,18.95,6.2
370,lufilufi,90,WS,1612048837,84,-13.8745,-171.5986,84.2,11.5
371,livadiya,0,RU,1612048838,83,42.8692,132.6764,2.08,8.21
372,kailua,40,US,1612048838,65,21.4022,-157.7394,80.6,11.5
373,moose factory,75,US,1612048839,74,43.6558,-110.7183,28.99,14.97
374,temiscaming,87,CA,1612048579,72,46.7212,-79.0971,8.6,4.61
375,emerald,40,AU,1612048839,51,-23.5333,148.1667,84.2,9.22
376,iralaya,39,HN,1612048839,75,15.0,-83.2333,78.62,9.1
377,san lorenzo,0,ML,1612048795,19,13.3034,-4.8956,72.21,9.13
378,fortuna,75,US,1612048792,71,40.5982,-124.1573,55.99,24.16
379,gazojak,83,TM,1612048839,56,41.1875,61.4036,43.27,8.12
380,rosarito,75,MX,1612048840,58,32.3333,-117.0333,60.8,12.66
381,pangnirtung,0,CA,1612048840,74,66.1451,-65.7125,-9.51,1.97
382,puerto carreno,20,ES,1612048840,77,36.5939,-6.233,57.2,8.05
383,eyl,10,SO,1612048840,82,7.9803,49.8164,70.77,11.68
384,shakawe,100,BW,1612048840,93,-18.3667,21.85,69.66,4.16
385,schotten,100,DE,1612048840,89,50.5,9.1333,33.01,1.99
386,sao joao da barra,0,IN,1612048841,34,20.5113,76.2129,59.79,5.55
387,nanga eboko,0,IN,1612048841,45,27.5409,88.622,43.92,5.1
388,kavieng,99,PG,1612048841,72,-2.5744,150.7967,83.34,14.5
389,sierre,100,CH,1612048841,100,46.2919,7.5356,37.4,1.14
390,calahorra,90,ES,1612048842,87,42.3051,-1.9652,45.0,3.44
391,fort nelson,87,NL,1612048680,89,52.6517,6.3861,28.0,1.01
392,roma,90,US,1612048842,73,43.2128,-75.4557,17.6,6.91
393,usinsk,100,RU,1612048842,92,65.9939,57.5281,-2.61,9.82
394,dromolaxia,40,CY,1612048842,77,34.8761,33.586,57.2,12.66
395,verkhniy avzyan,81,RU,1612048842,57,45.4806,37.7227,50.0,17.9
396,vannes,90,FR,1612048843,100,47.8333,-2.5,51.01,6.91
397,udachnyy,99,RU,1612048843,80,66.4167,112.4,-30.77,9.55
398,kismayo,52,SO,1612048843,83,-0.3582,42.5454,75.65,14.58
399,xingcheng,100,CN,1612048843,90,40.6167,120.7167,15.91,4.74
400,praya,0,CV,1612048843,68,14.9215,-23.5087,71.6,17.27
401,kantunilkin,40,MX,1612048844,53,21.0917,-87.45,78.8,13.8
402,skjervoy,100,NO,1612048844,88,70.0311,20.9714,28.08,7.49
403,jinchang,0,CN,1612048844,64,38.4953,102.1739,22.21,3.98
404,college,90,US,1612048658,71,64.8569,-147.8028,-2.99,0.81
405,springbok,0,ZA,1612048844,63,-29.6643,17.8865,58.62,2.3
406,aurora,75,US,1612048832,29,39.7294,-104.8319,50.0,16.11
407,coquimbo,75,CL,1612048845,82,-29.9533,-71.3436,66.2,9.22
408,kattivakkam,20,IN,1612048845,94,13.2167,80.3167,73.4,7.05
409,dongsheng,0,CN,1612048845,76,39.8161,109.9776,21.27,18.07
410,edd,5,ER,1612048573,81,13.9297,41.6925,71.24,2.55
411,ust-nera,100,RU,1612048845,76,64.5667,143.2,-24.77,8.01
412,canutama,85,BR,1612048846,91,-6.5339,-64.3831,77.83,1.81
413,carpen,94,RO,1612048846,86,44.3333,23.25,41.0,4.38
414,maldonado,75,UY,1612048846,88,-34.6667,-54.9167,68.0,21.85
415,cortez,1,US,1612048771,48,37.3489,-108.5859,39.2,10.36
416,baculin,92,PH,1612048846,81,7.4525,126.5842,77.4,10.2
417,homer,1,US,1612048846,80,59.6425,-151.5483,30.2,5.03
418,sovetskiy,100,RU,1612048847,92,61.3614,63.5842,-3.66,3.96
419,buala,100,SB,1612048656,76,-8.145,159.5921,84.42,15.37
420,guanajuato,1,MX,1612048847,18,21.0186,-101.2591,80.6,8.05
421,ponta delgada,70,PT,1612048847,100,38.7333,-28.2667,57.99,25.77
422,hurghada,0,EG,1612048843,54,27.2574,33.8129,57.2,6.91
423,wick,94,GB,1612048847,86,58.4333,-3.0833,30.2,5.75
424,pamekasan,88,ID,1612048848,87,-7.1568,113.4746,77.09,12.24
425,namatanai,100,PG,1612048848,70,-3.6667,152.4333,83.53,12.8
426,makaha,90,US,1612048848,83,21.4694,-158.2175,80.01,9.22
427,hualmay,73,PE,1612048848,69,-11.0964,-77.6139,73.99,11.9
428,omsukchan,100,RU,1612048848,80,62.5333,155.8,-31.43,9.08
429,anadyr,20,RU,1612048848,71,64.75,177.4833,-5.8,29.08
430,bosobolo,59,CD,1612048849,40,4.1833,19.9,72.82,1.95
431,newport,98,GB,1612048849,91,51.5877,-2.9984,39.99,3.0
432,grand river south east,1,US,1612048849,34,38.8755,-109.5012,46.4,10.36
433,hirara,75,JP,1612048849,67,24.8,125.2833,64.4,8.05
434,semirom,28,IR,1612048849,96,31.4167,51.5667,22.1,5.41
435,mangochi,100,MW,1612048849,91,-14.4782,35.2645,72.25,2.39
436,takoradi,100,GH,1612048850,87,4.8845,-1.7554,79.7,8.14
437,solnechnyy,28,RU,1612048850,86,50.7214,136.6319,-15.72,3.87
438,altay,0,CN,1612048853,77,47.8667,88.1167,8.2,2.86
439,port hardy,78,CD,1612048853,66,-7.0349,29.7638,72.18,5.57
440,farso,4,DK,1612048853,96,56.7728,9.3393,33.01,1.01
441,hays,21,US,1612048853,52,30.0502,-98.0336,77.0,3.0
442,vao,80,NC,1612048853,80,-22.6667,167.4833,75.43,24.9
443,mitzic,100,GA,1612048854,96,0.7821,11.549,69.75,3.22
444,mandalgovi,41,MN,1612048854,89,45.7625,106.2708,10.49,12.95
445,sabzevar,95,IR,1612048854,63,36.2126,57.6819,45.57,2.77
446,jumla,0,NP,1612048854,59,29.2747,82.1838,29.84,3.65
447,singaraja,100,ID,1612048854,75,-8.112,115.0882,79.11,3.4
448,takhli,0,TH,1612048855,70,15.2634,100.3438,72.0,6.96
449,jackson,75,US,1612048855,41,42.4165,-122.8345,57.2,14.97
450,amarante do maranhao,99,BR,1612048855,84,-6.2411,-42.8547,75.96,2.42
451,kloulklubed,75,PW,1612048856,74,7.0419,134.2556,82.4,9.22
452,yar-sale,100,RU,1612048856,85,66.8333,70.8333,-19.82,16.91
453,marfino,90,RU,1612048856,86,55.7028,37.3822,27.0,8.95
454,hambantota,100,LK,1612048856,80,6.1241,81.1185,77.36,13.4
455,lovozero,100,RU,1612048857,95,68.005,35.0117,8.15,3.38
456,manaure,0,CO,1612048857,57,11.7751,-72.4445,81.84,18.92
457,aldan,97,RU,1612048632,79,58.6031,125.3894,-40.56,1.79
458,berlevag,100,NO,1612048858,96,70.8578,29.0864,24.76,22.5
459,aginskoye,98,RU,1612048858,85,51.1,114.53,-21.05,3.15
460,veraval,0,IN,1612048859,28,20.9,70.3667,65.05,11.77
461,aasiaat,90,GL,1612048859,89,68.7098,-52.8699,-0.42,6.29
462,gornopravdinsk,100,RU,1612048859,93,60.05,69.9,4.91,9.89
463,port macquarie,78,CD,1612048814,66,-7.0349,29.7638,72.18,5.57
464,bugiri,100,UG,1612048860,74,0.5714,33.7417,71.37,3.89
465,changde,100,CN,1612048860,90,29.0464,111.6783,46.53,2.59
466,gualeguaychu,100,AR,1612048856,83,-33.0094,-58.5172,66.99,8.99
467,zarate,99,AR,1612048861,81,-34.0981,-59.0286,63.0,8.01
468,klaeng,14,TH,1612048861,10,12.7797,101.6483,75.0,3.02
469,san patricio,0,ML,1612048862,19,13.3034,-4.8956,72.21,9.13
470,kingman,1,US,1612048863,40,35.1894,-114.053,53.6,4.61
471,sakaiminato,75,JP,1612048863,87,35.55,133.2333,39.2,4.61
472,zhezkazgan,100,KZ,1612048863,96,47.8043,67.7144,20.17,8.48
473,rovnoye,99,RU,1612048863,97,50.7765,46.0509,25.56,9.57
474,sept-iles,24,CA,1612048863,58,50.2001,-66.3821,19.4,8.05
475,siocon,84,PH,1612048864,79,7.7061,122.1353,77.76,12.21
476,tieling,100,CN,1612048864,88,42.2931,123.8414,10.36,2.66
477,sijunjung,100,ID,1612048864,90,-0.6876,100.9537,70.11,0.13
478,payo,100,ID,1612048865,95,-3.7508,103.6372,72.27,2.01
479,linares,41,CL,1612048865,76,-35.85,-71.6,67.98,2.37
480,navolato,3,MX,1612048865,52,24.7672,-107.6944,84.99,1.01
481,shahreza,0,IR,1612048865,82,32.0339,51.8794,33.76,5.23
482,gizo,93,SB,1612048866,73,-8.103,156.8419,85.28,20.04
483,sorland,96,NO,1612048866,93,67.667,12.6934,30.99,11.7
484,cururupu,100,BR,1612048866,89,-1.8283,-44.8683,76.95,3.91
485,pemangkat,100,ID,1612048866,88,1.1667,108.9667,77.13,10.45
486,jining,21,CN,1612048867,70,35.405,116.5814,37.72,6.78
487,petapa,20,GT,1612048867,60,14.5028,-90.5517,75.0,18.41
488,naze,75,JP,1612048867,58,28.3667,129.4833,57.2,4.61
489,banning,1,US,1612048868,49,33.9256,-116.8764,60.01,3.0
490,shihezi,63,CN,1612048868,92,44.3,86.0333,-1.39,1.34
491,maiduguri,0,NG,1612048868,26,11.8464,13.1603,67.51,7.99
492,hovd,93,MN,1612048868,83,48.0056,91.6419,7.59,0.74
493,lagoa,73,PT,1612048868,92,39.05,-27.9833,61.93,27.31
494,borogontsy,100,RU,1612048869,80,62.6683,131.1683,-42.59,3.04
495,klaebu,75,NO,1612048869,93,63.2976,10.4826,30.2,9.22
496,cuenca,75,EC,1612048803,45,-2.8833,-78.9833,66.2,8.05
497,saurimo,100,AO,1612048870,95,-9.6608,20.3916,66.29,3.06
498,kosino,97,RU,1612048870,97,58.4127,51.2782,23.76,7.36
499,mount gambier,41,GB,1612048870,88,53.6597,-1.8537,32.0,1.99
500,akdepe,100,TM,1612048870,75,42.0551,59.3788,33.8,6.91
501,milton,100,US,1612048621,68,34.1322,-84.3007,46.0,5.01
502,taicheng,18,CN,1612048871,80,38.731,113.228,23.16,2.77
503,santiago del estero,90,CL,1612048871,100,-33.4569,-70.6483,73.0,5.61
504,abu samrah,0,IN,1612048872,53,24.6,72.7,43.16,3.96
505,pulandian,75,CN,1612048872,87,39.3953,121.9669,35.6,11.18
506,hachinohe,75,JP,1612048872,74,40.5,141.5,24.8,4.61
507,lima duarte,0,PE,1612048753,73,-12.0432,-77.0282,72.0,16.11
508,sur,0,OM,1612048872,53,22.5667,59.5289,66.02,6.42
509,port shepstone,78,CD,1612048805,66,-7.0349,29.7638,72.18,5.57
510,freeport,1,US,1612048584,34,40.6576,-73.5832,30.2,5.75
511,poum,62,NC,1612048873,67,-20.2333,164.0167,79.68,11.65
512,kirillov,100,RU,1612048873,97,59.863,38.3813,23.02,9.89
513,khurja,0,IN,1612048874,48,28.25,77.85,48.42,4.63
514,tupanatinga,96,BR,1612048874,82,-8.7533,-37.3397,72.19,11.74
515,winsum,42,NL,1612048874,92,53.33,6.5208,28.0,4.94
516,necochea,100,AR,1612048874,62,-38.5473,-58.7368,61.0,14.0
517,alta floresta,20,NO,1612048875,92,69.9689,23.2717,14.0,4.61
518,nantucket,1,US,1612048600,49,41.2835,-70.0995,19.4,10.36
519,santiago,90,CL,1612048812,100,-33.4569,-70.6483,73.0,7.09
520,wuzhou,0,CN,1612048875,71,23.4833,111.3167,52.09,2.39
521,tubalan,100,PH,1612048876,79,6.495,125.5661,78.28,13.82
522,sorong,100,ID,1612048876,81,-0.8833,131.25,78.76,12.3
523,point pedro,90,ZA,1612048876,94,-29.8647,31.0413,78.01,3.44
524,vagur,90,FO,1612048876,82,61.4732,-6.8119,36.61,18.5
525,ulaanbaatar,75,MN,1612048877,72,47.9077,106.8832,6.8,11.18
526,dauphin,90,CA,1612048658,100,51.1494,-100.0502,19.4,3.44
527,west plains,1,US,1612048633,11,31.8024,-97.0917,77.0,16.11
528,hay river,82,GB,1612048877,98,52.0705,-3.1274,35.01,1.01
529,rio gallegos,20,GR,1612048878,93,38.3,21.7833,53.01,4.63
530,antalaha,11,MG,1612048878,87,-14.9003,50.2788,76.1,4.34
531,sungaipenuh,99,ID,1612048878,95,-2.0833,101.3833,62.13,2.26
532,winton,1,US,1612048879,42,37.3894,-120.6133,62.6,8.05
533,aykhal,81,RU,1612048879,80,66.0,111.5,-33.3,13.22
534,mildura,0,AU,1612048879,60,-34.2,142.15,70.0,10.36
535,ormstown,87,CA,1612048880,78,45.1334,-73.9992,6.01,3.44
536,qaqortoq,75,GL,1612048880,30,60.7167,-46.0333,39.2,36.82
537,ilulissat,90,GL,1612048880,66,69.2167,-51.1,6.8,6.91
538,katiola,69,CI,1612048880,57,8.1333,-5.1,80.6,2.3
539,kasongo-lunda,100,CD,1612048880,94,-6.4667,16.8167,69.64,0.92
540,changli,99,CN,1612048881,93,39.7042,119.1506,23.16,7.49
541,chaumont,99,FR,1612048881,94,48.1167,5.1333,46.0,6.6
